collection,source_rel_path,filename,file_status,curve_index,short_name,long_name,unit,samples,duration_s,min,max,mean,sample_columns,curve_metadata_keys
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,10,s E     a,ejector stroke,[mm],229,80.0,-0.9,14.8,6.736681222707424,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,11,p Atm   a,Ambient pressure,[mbar],6,80.0,956.0,956.0,956.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,12,p Vac T a,Vacuum tank pressure,[mbar],6,80.0,966.0,966.0,966.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,13,p VacD2 a,VacD2: Vacuum pressure moving platen,[mbar],153,80.0,956.0,960.0,958.156862745098,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,0,p Soll,Nominal pressure,[bar],270,80.0,3.0,210.0,129.64444444444445,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,1,p Sys   a,System pressure,[bar],1845,80.0,0.0,168.0,90.84769647696477,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,2,s L     a,die position,[mm],2886,80.0,0.0,990.7,427.1120928620929,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,3,p L     a,closing pressure,[bar],2821,80.0,1.0,202.0,106.54580113434953,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,4,s I     a,Plunger stroke,[mm],3490,80.0,0.0,763.5,336.025787965616,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,5,v I     a,Casting cylinder velocity,[m/s],423,80.0,-0.37,3.37,0.7195508274231679,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,6,p IM    a,Metal pressure: actual,[bar],1667,80.0,0.0,401.0,270.64667066586685,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,7,p I.1   a,casting cyl. primary,[bar],1079,80.0,-3.0,164.0,104.42354031510658,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,8,p I.2   a,Injection cylinder secondary,[bar],1782,80.0,2.0,237.0,119.5993265993266,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,9,p N Acc a,nitrogen pressure accu,[bar],348,80.0,117.0,135.0,126.25574712643679,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,10,s E     a,ejector stroke,[mm],232,80.0,-0.9,15.3,7.203448275862069,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,11,p Atm   a,Ambient pressure,[mbar],5,80.0,956.0,956.0,956.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
